location,HigthestInfectionCount,PercentagePopulationInfected
Cyprus,660854.0,73.7554505712567
San Marino,24644.0,73.14930246363906
Brunei,311449.0,69.364724433298747
Austria,6081287.0,68.026258843080186
South Korea,34571873.0,66.720706159788151
Faeroe Islands,34658.0,65.248413878795859
Slovenia,1345384.0,63.466209525894136
Gibraltar,20550.0,62.8882700370291
Martinique,230354.0,62.679313872744288
Andorra,48015.0,60.1367684080007
Jersey,66391.0,59.921838333513847
Luxembourg,384378.0,59.354139354324651
Saint Pierre and Miquelon,3426.0,58.215802888700082
Denmark,3417017.0,58.090216700760713
France,38997490.0,57.507395337177236
Iceland,209142.0,56.084826348943295
Guernsey,35326.0,55.781711380252332
Portugal,5621015.0,54.727808984196749
Liechtenstein,21491.0,54.608054885020962
Latvia,976316.0,52.755188165913239
Greece,5405742.0,52.053505777386789
Guadeloupe,203235.0,51.352833268479536
Israel,4839886.0,51.22114509471902
Reunion,494595.0,50.7765419449686
Falkland Islands,1923.0,50.591949486977107
Switzerland,4413452.0,50.494441317864904
Saint Barthelemy,5507.0,50.090958704748047
Georgia,1855289.0,49.548564049904051
Netherlands,8618815.0,49.070856216287616
Lithuania,1329905.0,48.359161879494906
Seychelles,50937.0,47.544686610351427
Bahrain,696614.0,47.316702405930563
Monaco,17001.0,46.589570030966534
Germany,38437756.0,46.105109473641789
Singapore,2594809.0,46.031557088122064
New Zealand,2385438.0,46.0039546493937
Cayman Islands,31472.0,45.796106050464189
Niue,887.0,45.4405737704918
Estonia,602187.0,45.4116090927738
Isle of Man,38008.0,44.961790522156761
Australia,11608166.0,44.344211287518512
Czechia,4651538.0,44.325733110094447
Italy,26082645.0,44.179813458137232
Bonaire Sint Eustatius and Saba,11922.0,44.070678692887775
Nauru,5393.0,42.494681270191478
Cook Islands,7158.0,42.026773132926252
Aruba,44224.0,41.540874890803032
Belgium,4817196.0,41.328310078918676
Saint Helena,2166.0,40.103684502869839
Montenegro,251280.0,40.071314437346309
Barbados,110023.0,39.064286373674754
Marshall Islands,16133.0,38.787776789363591
Saint Martin (French part),12324.0,38.735227558461148
Puerto Rico,1252713.0,38.516430267752057
